,timestamp,incr,state,speed,speed_Unit,CAN1: Dev. 1numberoccur,CAN1: Dev. 1errid,CAN1: Dev. 1firsttime,CAN1: Dev. 1lasttime,CAN1: Dev. 4numberoccur,CAN1: Dev. 4errid,CAN1: Dev. 4firsttime,CAN1: Dev. 4lasttime,CAN1: Dev. 3numberoccur,CAN1: Dev. 3errid,CAN1: Dev. 3firsttime,CAN1: Dev. 3lasttime,CAN1: Dev. 2numberoccur,CAN1: Dev. 2errid,CAN1: Dev. 2firsttime,CAN1: Dev. 2lasttime,CAN1: Dev. 5numberoccur,CAN1: Dev. 5errid,CAN1: Dev. 5firsttime,CAN1: Dev. 5lasttime,CAN1: Dev. 6numberoccur,CAN1: Dev. 6errid,CAN1: Dev. 6firsttime,CAN1: Dev. 6lasttime,throughput
0,2017-07-04T22:58:11.198,58375.0,stopped,0.0,ft/min,45,3000400,2017-05-30T10:06:22,2017-07-04T05:13:27,51,3000400,2017-05-30T10:06:25,2017-07-04T05:13:27,39,3000400,2017-05-30T10:06:29,2017-07-04T05:13:26,41,3000400,2017-05-30T10:06:31,2017-07-03T23:27:09,48,3000400,2017-05-30T10:06:33,2017-07-04T05:15:12,47,3000400,2017-05-30T10:06:34,2017-07-03T23:42:25,0.0
1,2017-07-04T22:59:11.198,58375.0,stopped,0.0,ft/min,45,3000400,2017-05-30T10:06:22,2017-07-04T05:13:27,51,3000400,2017-05-30T10:06:25,2017-07-04T05:13:27,39,3000400,2017-05-30T10:06:29,2017-07-04T05:13:26,41,3000400,2017-05-30T10:06:31,2017-07-03T23:27:09,48,3000400,2017-05-30T10:06:33,2017-07-04T05:15:12,47,3000400,2017-05-30T10:06:34,2017-07-03T23:42:25,1.0
2,2017-07-04T23:00:11.198,58375.0,stopped,0.0,ft/min,45,3000400,2017-05-30T10:06:22,2017-07-04T05:13:27,51,3000400,2017-05-30T10:06:25,2017-07-04T05:13:27,39,3000400,2017-05-30T10:06:29,2017-07-04T05:13:26,41,3000400,2017-05-30T10:06:31,2017-07-03T23:27:09,48,3000400,2017-05-30T10:06:33,2017-07-04T05:15:12,47,3000400,2017-05-30T10:06:34,2017-07-03T23:42:25,1.0
3,2017-07-04T23:01:11.198,58375.0,stopped,0.0,ft/min,45,3000400,2017-05-30T10:06:22,2017-07-04T05:13:27,51,3000400,2017-05-30T10:06:25,2017-07-04T05:13:27,39,3000400,2017-05-30T10:06:29,2017-07-04T05:13:26,41,3000400,2017-05-30T10:06:31,2017-07-03T23:27:09,48,3000400,2017-05-30T10:06:33,2017-07-04T05:15:12,47,3000400,2017-05-30T10:06:34,2017-07-03T23:42:25,1.0
4,2017-07-04T23:02:11.198,58375.0,stopped,0.0,ft/min,45,3000400,2017-05-30T10:06:22,2017-07-04T05:13:27,51,3000400,2017-05-30T10:06:25,2017-07-04T05:13:27,39,3000400,2017-05-30T10:06:29,2017-07-04T05:13:26,41,3000400,2017-05-30T10:06:31,2017-07-03T23:27:09,48,3000400,2017-05-30T10:06:33,2017-07-04T05:15:12,47,3000400,2017-05-30T10:06:34,2017-07-03T23:42:25,1.0
5,2017-07-04T23:03:11.198,58375.0,stopped,0.0,ft/min,45,3000400,2017-05-30T10:06:22,2017-07-04T05:13:27,51,3000400,2017-05-30T10:06:25,2017-07-04T05:13:27,39,3000400,2017-05-30T10:06:29,2017-07-04T05:13:26,41,3000400,2017-05-30T10:06:31,2017-07-03T23:27:09,48,3000400,2017-05-30T10:06:33,2017-07-04T05:15:12,47,3000400,2017-05-30T10:06:34,2017-07-03T23:42:25,1.0
6,2017-07-04T23:04:11.198,58375.0,stopped,0.0,ft/min,45,3000400,2017-05-30T10:06:22,2017-07-04T05:13:27,51,3000400,2017-05-30T10:06:25,2017-07-04T05:13:27,39,3000400,2017-05-30T10:06:29,2017-07-04T05:13:26,41,3000400,2017-05-30T10:06:31,2017-07-03T23:27:09,48,3000400,2017-05-30T10:06:33,2017-07-04T05:15:12,47,3000400,2017-05-30T10:06:34,2017-07-03T23:42:25,1.0
7,2017-07-04T23:05:11.203,58375.0,stopped,0.0,ft/min,45,3000400,2017-05-30T10:06:22,2017-07-04T05:13:27,51,3000400,2017-05-30T10:06:25,2017-07-04T05:13:27,39,3000400,2017-05-30T10:06:29,2017-07-04T05:13:26,41,3000400,2017-05-30T10:06:31,2017-07-03T23:27:09,48,3000400,2017-05-30T10:06:33,2017-07-04T05:15:12,47,3000400,2017-05-30T10:06:34,2017-07-03T23:42:25,1.0
8,2017-07-04T23:06:11.203,58375.0,stopped,0.0,ft/min,45,3000400,2017-05-30T10:06:22,2017-07-04T05:13:27,51,3000400,2017-05-30T10:06:25,2017-07-04T05:13:27,39,3000400,2017-05-30T10:06:29,2017-07-04T05:13:26,41,3000400,2017-05-30T10:06:31,2017-07-03T23:27:09,48,3000400,2017-05-30T10:06:33,2017-07-04T05:15:12,47,3000400,2017-05-30T10:06:34,2017-07-03T23:42:25,1.0
9,2017-07-04T23:07:11.203,58375.0,stopped,0.0,ft/min,45,3000400,2017-05-30T10:06:22,2017-07-04T05:13:27,51,3000400,2017-05-30T10:06:25,2017-07-04T05:13:27,39,3000400,2017-05-30T10:06:29,2017-07-04T05:13:26,41,3000400,2017-05-30T10:06:31,2017-07-03T23:27:09,48,3000400,2017-05-30T10:06:33,2017-07-04T05:15:12,47,3000400,2017-05-30T10:06:34,2017-07-03T23:42:25,1.0
